name,class_name,jar_path,function_name,synthesis_result,final_status,error_summary
LeikeHeizmannWST2014Ex9,LeikeHeizmannWST2014Ex9,/home/benchmarking/termination-crafted-lit/LeikeHeizmann-WST2014-Ex9/LeikeHeizmannWST2014Ex9.jar,loop,Yes,Verified OK,
PodelskiRybalchenkoLICS2004Fig1,PodelskiRybalchenkoLICS2004Fig1,/home/benchmarking/termination-crafted-lit/PodelskiRybalchenko-LICS2004-Fig1/PodelskiRybalchenkoLICS2004Fig1.jar,loop,Yes,Verified OK,
PodelskiRybalchenkoTACAS2011Fig1,PodelskiRybalchenkoTACAS2011Fig1,/home/benchmarking/termination-crafted-lit/PodelskiRybalchenko-TACAS2011-Fig1/PodelskiRybalchenkoTACAS2011Fig1.jar,loop,Yes,Verified OK,
PodelskiRybalchenkoTACAS2011Fig2,PodelskiRybalchenkoTACAS2011Fig2,/home/benchmarking/termination-crafted-lit/PodelskiRybalchenko-TACAS2011-Fig2/PodelskiRybalchenkoTACAS2011Fig2.jar,loop,Yes,Verified OK,
PodelskiRybalchenkoTACAS2011Fig4,PodelskiRybalchenkoTACAS2011Fig4,/home/benchmarking/termination-crafted-lit/PodelskiRybalchenko-TACAS2011-Fig4/PodelskiRybalchenkoTACAS2011Fig4.jar,loop,Yes,Verified OK,
UrbanWST2013Fig2modified1000,UrbanWST2013Fig2modified1000,/home/benchmarking/termination-crafted-lit/Urban-WST2013-Fig2-modified1000/UrbanWST2013Fig2modified1000.jar,loop,Yes,Verified OK,
UrbanWST2013Fig2,UrbanWST2013Fig2,/home/benchmarking/termination-crafted-lit/Urban-WST2013-Fig2/UrbanWST2013Fig2.jar,loop,Yes,Verified OK,
UrbanMineESOP2014Fig3,UrbanMineESOP2014Fig3,/home/benchmarking/termination-crafted-lit/UrbanMine-ESOP2014-Fig3/UrbanMineESOP2014Fig3.jar,loop,Yes,Verified OK,
aviad,aviad,/home/benchmarking/termination-crafted-lit/aviad/aviad.jar,loop,Yes,Verified OK,
genady,genady,/home/benchmarking/termination-crafted-lit/genady/genady.jar,loop,Yes,Verified OK,
B2Nested1,B2Nested1,/home/benchmarking/termination-crafted/2Nested-1/B2Nested1.jar,loop,Yes,Verified OK,
B4BitCounterPointer,B4BitCounterPointer,/home/benchmarking/termination-crafted/4BitCounterPointer/B4BitCounterPointer.jar,loop,No,LLM MaxFail,
B4NestedWith3Variables1,B4NestedWith3Variables1,/home/benchmarking/termination-crafted/4NestedWith3Variables-1/B4NestedWith3Variables1.jar,loop,No,LLM MaxFail,
